unmapped_SMILES,mapped_SMILES
[H]-C(-C(-c)=O)-C(-[H])-C(-C)=O.[H]-N(-[H])-c>>c-c1:c:c:c(-C):n:1-c,[c:3]-[C:8](=[O:29])-[C:13](-[#1:2013])-[C:17](-[#1:2017])-[C:20](=[O:30])-[C:21].[c:22]-[N:25](-[#1:1025])-[#1:2025]>>[c:3]-[c:8]1:[c:13]:[c:17]:[c:20](-[C:21]):[n:25]:1-[c:22]
c-S-C>>c-S(-C)(=O)=O,[c:19]-[S:20]-[C:21]>>[c:19]-[S:20](=[O:22])(=[O:23])-[C:21]
[H]-c(:c):n>>c:c(:n)-Br,[#1:1006]-[c:6](:[c:2]):[n:11]>>[c:2]:[c:6](-[Br:14]):[n:11]
c-C=O>>[H]-O-N=C-c,[c:30]-[C:33]=[O:34]>>[#1:1035]-[O:35]-[N:36]=[C:33]-[c:30]
C-C(=O)-Cl.[H]-c(:c):c>>c:c(:c)-C(-C)=O,[C:15]-[C:13](-[Cl:16])=[O:14].[c:1]:[c:4](:[c:8])-[#1:1004]>>[c:1]:[c:4](:[c:8])-[C:13](=[O:14])-[C:15]
[H]-N(-[H])-N.c-C(-C)=O>>c-C(-C)=N-N,[N:19]-[N:21](-[#1:1021])-[#1:2021].[c:1]-[C:2](=[O:22])-[C:5]>>[c:1]-[C:2](-[C:5])=[N:21]-[N:19]
c:n:c>>c:n(:c)-O,[c:22]:[n:26]:[c:24]>>[c:22]:[n&+:26](-[O&-:27]):[c:24]
[H]-C(-[H])(-[H])-C(=O)-O-C(-C)=O.[H]-N-c>>c-N-C(-C)=O,[#1:1013]-[C:13](-[#1:2013])(-[#1:3013])-[C:14](=[O:15])-[O:16]-[C:1](=[O:2])-[C:3].[N:7](-[#1:2007])-[c:4]>>[C:3]-[C:1](=[O:2])-[N:7]-[c:4]
[H]-N(-C)-C.c:c(:c)-F>>c:c(:c)-N(-C)-C,[C:36]-[N:37](-[#1:1037])-[C:38].[c:24]:[c:27](-[F:39]):[c:26]>>[c:24]:[c:27](-[N:37](-[C:36])-[C:38]):[c:26]
[H]-C(-[H])(-[H])-C1(-O-B(-O-C-1(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H])-B(-O)-O)-C(-[H])(-[H])-[H].c:c(:c)-Br>>c:c(:c)-B(-O)-O,[#1:1021]-[C:21](-[#1:2021])(-[#1:3021])-[C:22]1(-[C:23](-[#1:1023])(-[#1:2023])-[#1:3023])-[O:24]-[B:25](-[B:11](-[O:12])-[O:13])-[O:26]-[C:27]-1(-[C:28](-[#1:1028])(-[#1:2028])-[#1:3028])-[C:29](-[#1:1029])(-[#1:2029])-[#1:3029].[c:2]:[c:5](-[Br:20]):[c:10]>>[c:2]:[c:5](-[B:11](-[O:12])-[O:13]):[c:10]
c-C#N>>[H]-O-N=C(-c)-N(-[H])-[H],[c:9]-[C:11]#[N:12]>>[#1:1013]-[O:13]-[N:14]=[C:11](-[c:9])-[N:12](-[#1:1012])-[#1:2012]
C-C(=O)-Cl.[H]-N(-C)-C>>C-C(=O)-N(-C)-C,[C:10]-[C:11](-[Cl:18])=[O:14].[C:1]-[N:3](-[#1:1003])-[C:7]>>[C:1]-[N:3](-[C:11](-[C:10])=[O:14])-[C:7]
[H]-C(-c)=O>>[H]-O-C(-c)=O,[c:13]-[C:20](-[#1:1020])=[O:26]>>[#1:1031]-[O:31]-[C:20](-[c:13])=[O:26]
C-N=N=N>>[H]-N(-[H])-C,[C:5]-[N:10]=[N&+:35]=[N&-:36]>>[C:5]-[N:10](-[#1:1010])-[#1:2010]
C-C#N>>[H]-N(-[H])-C(-[H])(-[H])-C,[C:8]-[C:10]#[N:11]>>[C:8]-[C:10](-[#1:1010])(-[#1:2010])-[N:11](-[#1:1011])-[#1:2011]
[H]-c(:c):s>>c:c(:s)-Br,[c:7]:[c:9](-[#1:1009]):[s:4]>>[c:7]:[c:9](-[Br:24]):[s:4]
C-S(=O)(=O)-O-S(=O)(=O)-C(-F)(-F)-F.[H]-O-c>>c-O-S(-C)(=O)=O,[O:30]=[S:31](=[O:32])(-[O:33]-[S:23](-[C:24])(=[O:25])=[O:26])-[C:34](-[F:35])(-[F:36])-[F:37].[c:9]-[O:14]-[#1:1014]>>[c:9]-[O:14]-[S:23](-[C:24])(=[O:25])=[O:26]
C-[Si](-C)(-C)-Cl.[H]-O-c>>c-O-[Si](-C)(-C)-C,[C:16]-[#14:14](-[Cl:21])(-[C:15])-[C:17].[c:10]-[O:13]-[#1:1013]>>[c:10]-[O:13]-[#14:14](-[C:15])(-[C:16])-[C:17]
C-C=C-O.[H]-O-C>>[H]-C(-C)-C(-O)-O-C,[C:21]-[O:22]-[#1:1022].[O:1]-[C:3]=[C:5]-[C:6]>>[O:1]-[C:3](-[O:22]-[C:21])-[C:5](-[#1:2005])-[C:6]
[H]-C(-C)-C>>C-C(-C)-Br,[C:5]-[C:11](-[#1:2011])-[C:15]>>[C:5]-[C:11](-[Br:18])-[C:15]
[H]-N-c.[H]-O-C(-C)=O>>c-N-C(-C)=O,[#1:1029]-[O:29]-[C:20](-[C:19])=[O:21].[c:23]-[N:27]-[#1:2027]>>[C:19]-[C:20](=[O:21])-[N:27]-[c:23]
[H]-C(-[H])(-[H])-O-C(-C)=O>>[H]-O-C(-[H])(-[H])-C,[#1:1017]-[C:17](-[#1:2017])(-[#1:3017])-[O:18]-[C:13](-[C:11])=[O:16]>>[C:11]-[C:13](-[#1:1013])(-[#1:2013])-[O:16]-[#1:1016]
[H]-n(:c):c.c-C-Br>>c:n(:c)-C-c,[c:19]-[C:21]-[Br:22].[c:2]:[n:5](-[#1:1005]):[c:10]>>[c:2]:[n:5](-[C:21]-[c:19]):[c:10]
[H]-c1:c(-[H]):c(-[H]):c(:c(-[H]):c:1-[H])-C(-[H])(-[H])-N(-C)-C>>[H]-N(-C)-C,[#1:1017]-[c:17]1:[c:18](-[#1:1018]):[c:19](-[#1:1019]):[c:20](-[C:21](-[#1:1021])(-[#1:2021])-[N:14](-[C:11])-[C:15]):[c:22](-[#1:1022]):[c:23]:1-[#1:1023]>>[C:15]-[N:14](-[#1:1014])-[C:11]
c-S-c>>c-S(-c)=O,[c:2]-[S:6]-[c:11]>>[c:2]-[S:6](=[O:23])-[c:11]
[H]-C(-[H])-C>>C-C=O,[C:13]-[C:15](-[#1:2015])-[#1:3015]>>[C:13]-[C:15]=[O:16]
O=C(-O)-Cl.[H]-N-C>>C-N-C(=O)-O,[C:13]-[N:16]-[#1:2016].[O:2]-[C:5](-[Cl:19])=[O:8]>>[O:2]-[C:5](=[O:8])-[N:16]-[C:13]
[H]-N(-[H])-c(:c):c(:c)-N(-[H])-[H].c-C(=O)-C(-c)=O>>c:c1:n:c(-c):c(-c):n:c:1:c,[c:9]-[C:11](=[O:27])-[C:15](=[O:28])-[c:20].[c:3]:[c:1](-[N:4](-[#1:1004])-[#1:2004]):[c:2](-[N:6](-[#1:1006])-[#1:2006]):[c:5]>>[c:3]:[c:1]1:[c:2](:[c:5]):[n:6]:[c:15](-[c:20]):[c:11](-[c:9]):[n:4]:1
C-C=C(-C)-C>>[H]-C(-C)-C(-[H])(-C)-C,[C:2]-[C:7](=[C:9]-[C:8])-[C:10]>>[C:2]-[C:7](-[C:9](-[C:8])-[#1:2009])(-[#1:1007])-[C:10]
[H]-N-C.[H]-O-C(-C)=O>>C-N-C(-C)=O,[#1:1033]-[O:33]-[C:20](-[C:19])=[O:21].[C:31]-[N:32]-[#1:2032]>>[C:19]-[C:20](=[O:21])-[N:32]-[C:31]
[H]-O-C.[H]-O-C.c-C=O>>C-O-C(-c)-O-C,[C:21]-[O:23]-[#1:1023].[C:22]-[O:24]-[#1:1024].[c:13]-[C:17]=[O:25]>>[c:13]-[C:17](-[O:23]-[C:21])-[O:24]-[C:22]
[H]-N(-[H])-C.c-C=O>>c-C=N-C,[C:4]-[N:7](-[#1:1007])-[#1:2007].[c:16]-[C:20]=[O:25]>>[C:4]-[N:7]=[C:20]-[c:16]
[H]-O-C.c-C-Br>>c-C-O-C,[C:7]-[O:16]-[#1:1016].[c:34]-[C:35]-[Br:36]>>[C:7]-[O:16]-[C:35]-[c:34]
C-C(-C)=O.[H]-N(-[H])-N>>C-C(-C)=N-N,[C:14]-[C:13](=[O:19])-[C:15].[N:3]-[N:8](-[#1:1008])-[#1:2008]>>[N:3]-[N:8]=[C:13](-[C:14])-[C:15]
